,Unnamed: 0,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor
23,23,777,907,2021/12/10,2.334620335,6.292791522,43.6,33.07298327,18.67541345,0.003008531,0.008109267,0.007870328,0.082069888,0.783960109,0.001086104,0.013052909,0.033437431,0.147589169,0.064406387,41,0.85971686,AAVE,14,0.018018018,37.14285714
24,24,520,585,2022/01/11,2.25,5.322634983,30.8,24.02683685,13.68888889,0.00433526,0.010255559,0.009486849,0.0898885,0.772177661,0.002226896,0.016886254,0.040510335,0.147143548,0.064820783,34,0.861538462,AAVE,10,0.019230769,30.8
25,25,636,707,2022/02/11,2.22327044,5.303140593,31.1,28.98064488,13.9884017,0.003501213,0.008351403,0.002761293,0.042815945,0.792462324,0.00122524,0.014319421,0.03700587,0.125155728,0.065447738,40,0.800314465,AAVE,3,0.004716981,39.33333333
26,26,601,629,2022/03/11,2.093178037,4.273324629,29,16.9246697,13.854531,0.00348863,0.007122208,0.005848191,0.071910666,0.818382069,0.002919235,0.014167812,0.038283224,0.094577037,0.06133894,65,0.708818636,AAVE,4,0.006655574,45.5
27,27,706,791,2022/04/11,2.240793201,4.551216057,33.6,17.30895722,14.99469027,0.00317843,0.006455626,0.006803668,0.069955576,0.798637804,0.003259689,0.015160192,0.034471471,0.126132994,0.06050368,50,0.830028329,AAVE,8,0.011331445,37.625
28,28,877,1056,2022/05/11,2.408209806,6.177720029,46.3,31.82958093,19.22589962,0.002749098,0.007052192,0.017670967,0.108932172,0.768544823,0.007910784,0.011730226,0.031682759,0.146875243,0.067779252,57,0.84036488,AAVE,15,0.017103763,38.2
29,29,650,839,2022/06/11,2.581538462,5.798647425,42,17.3973178,16.2693683,0.003977717,0.008934742,0.014180433,0.108458267,0.727949585,0.005393038,0.02016014,0.033671569,0.167047365,0.060180794,24,0.9,AAVE,11,0.016923077,40.09090909
30,30,1422,1753,2021/07/11,2.465541491,12.41596132,95.5,116.1103402,38.73388477,0.001735075,0.008737482,0.015378306,0.111771123,0.734705626,0.001338127,0.011120216,0.024082848,0.188941479,0.071583386,60,0.897327707,AAVE,2,0.00140647,261
31,31,1337,1659,2021/08/11,2.481675393,8.772737824,77.4,60.68717602,31.18860759,0.001857541,0.006566421,0.017767743,0.124810001,0.740743224,0.001949245,0.010057867,0.025441435,0.163607037,0.064514068,69,0.88631264,AAVE,1,0.000747943,246
32,32,1168,1367,2021/09/11,2.340753425,8.819448602,69.5,65.57480885,29.69129481,0.002005787,0.007557368,0.009042447,0.081957068,0.764737739,0.001588344,0.011344994,0.026982936,0.1521054,0.069581498,75,0.851027397,AAVE,1,0.000856164,249
33,33,783,920,2021/10/11,2.349936143,7.130866365,44.6,44.22216639,18.97923913,0.003005033,0.009118755,0.01354621,0.108773466,0.742205222,0.002273804,0.014124406,0.032848416,0.145457037,0.075650791,60,0.809706258,AAVE,16,0.020434227,36.125
34,34,788,902,2021/11/11,2.289340102,6.516914797,42.1,39.40798002,18.38957871,0.002908945,0.008280705,0.005393527,0.065151125,0.762383789,0.001174891,0.013388725,0.033032746,0.142748326,0.067755938,58,0.838832487,AAVE,1,0.001269036,153
35,35,736,832,2021/12/11,2.260869565,5.923539235,39.8,30.60428438,17.60384615,0.003076013,0.008059237,0.000711764,0.009689978,0.783869817,0.001075731,0.013220767,0.034431348,0.137115966,0.067332551,54,0.823369565,AAVE,12,0.016304348,36.66666667
36,36,545,625,2022/01/12,2.293577982,5.681339994,32.8,27.4825197,14.3008,0.004216136,0.01044364,0.012044023,0.080423801,0.76636032,0.004068009,0.016822404,0.039429961,0.143397738,0.067189513,40,0.844036697,AAVE,3,0.005504587,108
37,37,563,628,2022/02/12,2.230905861,5.113651786,30.2,24.84529913,13.53710191,0.003969583,0.009099025,0.005235352,0.063140085,0.78417735,0.001847063,0.015595562,0.039188073,0.118608414,0.064263012,45,0.795737123,AAVE,3,0.005328597,58
38,38,674,707,2022/03/12,2.097922849,4.975652024,37.2,18.46197293,17.73182461,0.00311727,0.007393242,0.007779736,0.073058427,0.81595942,0.003294531,0.016428284,0.034865378,0.111443462,0.063228053,65,0.768545994,AAVE,8,0.011869436,42.25
39,39,573,685,2022/04/12,2.390924956,4.158240788,27.4,13.22623655,11.46,0.004179939,0.007269652,0.006707484,0.065118853,0.761430018,0.004577823,0.01548188,0.038834831,0.13362045,0.063605849,37,0.832460733,AAVE,16,0.027923211,22.125
40,40,1001,1196,2022/05/12,2.38961039,7.688826435,58.5,50.37250132,24.48097826,0.00238961,0.007688826,0.010466232,0.087900989,0.760908365,0.002786586,0.011838604,0.029320766,0.160247326,0.068412929,58,0.869130869,AAVE,23,0.022977023,25
41,41,799,1062,2022/06/12,2.658322904,6.945520378,57.8,21.14395107,21.74303202,0.003331232,0.00870366,0.026727507,0.139695252,0.703777295,0.010709696,0.015084021,0.032020619,0.169104942,0.065194071,40,0.887359199,AAVE,9,0.01126408,61.33333333
42,42,1272,1680,2021/07/12,2.641509434,9.641183639,80.4,70.20319714,30.43714286,0.002078292,0.00758551,0.03111556,0.157234492,0.721383574,0.004512446,0.011044901,0.025781704,0.176097682,0.069605538,59,0.883647799,AAVE,1,0.000786164,113.6
43,43,1168,1404,2021/08/12,2.404109589,7.676250126,66,46.77843758,27.45299145,0.002060077,0.006577764,0.014454293,0.10676548,0.758919621,0.003961486,0.010788447,0.027210434,0.150018196,0.068090518,75,0.846746575,AAVE,8,0.006849315,73.625
44,44,1060,1269,2021/09/12,2.394339623,7.616713274,57.8,50.67061388,24.14026793,0.002260944,0.007192364,0.015125313,0.11420832,0.754168475,0.002123861,0.011415657,0.028528,0.151322175,0.067327741,69,0.856603774,AAVE,1,0.000943396,200
45,45,939,1116,2021/10/12,2.376996805,6.582148042,50.1,35.3347484,21.07701613,0.002534112,0.007017215,0.010025309,0.09117051,0.754593498,0.002196193,0.01172708,0.030470101,0.142015918,0.068050338,66,0.828541001,AAVE,17,0.018104366,40.17647059
46,46,816,963,2021/11/12,2.360294118,7.02371736,48.4,40.66994522,20.505919,0.002896066,0.008618058,0.007250353,0.079360637,0.750321609,0.001401214,0.013751895,0.032212532,0.152246066,0.068281694,47,0.852941176,AAVE,14,0.017156863,41.28571429
47,47,755,835,2021/12/12,2.21192053,6.078192169,43,31.10198279,19.44011976,0.002933582,0.008061263,0.005258321,0.060659778,0.803702535,0.002008435,0.012837193,0.034077087,0.125959692,0.064961557,61,0.806622517,AAVE,7,0.009271523,52.57142857
48,48,567,622,2022/01/13,2.194003527,4.956107631,30,22.52899366,13.67363344,0.003876331,0.008756374,0.007953884,0.0828052,0.78510096,0.001559657,0.014996393,0.039261881,0.13272339,0.063465266,40,0.835978836,AAVE,13,0.02292769,26.76923077
49,49,558,597,2022/02/13,2.139784946,4.546803635,26.7,22.13117459,12.47788945,0.003841625,0.008163023,0.00822666,0.08640555,0.809156054,0.001864802,0.014615859,0.039765881,0.109218156,0.05887981,49,0.792114695,AAVE,1,0.001792115,86
50,50,511,548,2022/03/13,2.14481409,4.140967907,24.9,16.88161393,11.60939781,0.004205518,0.008119545,0.002102438,0.022130144,0.79179265,0.0030012,0.015514546,0.041468195,0.110482324,0.061908008,49,0.782778865,AAVE,4,0.007827789,40.25
51,51,577,678,2022/04/13,2.350086655,4.690653105,28.9,20.46378916,12.29741888,0.004080012,0.008143495,0.004115367,0.059637484,0.768719381,0.002068395,0.015669584,0.038602448,0.13490973,0.061437337,33,0.852686308,AAVE,3,0.005199307,53.33333333
52,52,1015,1149,2022/05/13,2.264039409,8.490814008,60.6,62.21503927,26.76631854,0.00223278,0.008373584,0.013163829,0.095855294,0.799098774,0.002447111,0.010928606,0.029438768,0.152121081,0.063619102,51,0.872906404,AAVE,3,0.002955665,135
53,53,885,1181,2022/06/13,2.668926554,6.338669255,50.3,23.90281248,18.84652837,0.003019148,0.00717044,0.042299802,0.178119713,0.714507002,0.016725798,0.014870369,0.030163616,0.162009648,0.067457787,50,0.870056497,AAVE,16,0.018079096,41.4375
