,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token
0,702,807,1/01/2022,2.299145299145299,6.24661728568414,38.1,36.33623841597011,16.571375464684017,0.0032798078447150826,0.008911008966739235,0.005408479310928671,0.06765224333235795,0.7573623913434044,0.0010188833038989268,0.014117210389109508,0.03502789734584897,0.14005276520809803,0.07103116428270549,57,0.8133903133903134,AAVE
1,522,612,1/02/2022,2.3448275862068964,5.278779273923831,30.9,23.946468076385155,13.177941176470588,0.004500628764312666,0.01013201396146606,0.007448241136397058,0.07865635110378638,0.7614005297107944,0.0011135857461024498,0.016945901832486062,0.04039394793672673,0.15017524846825034,0.06485286852259345,31,0.8659003831417624,AAVE
2,628,740,1/03/2022,2.356687898089172,5.762456434889431,36.2,28.700754926191983,15.360540540540542,0.0037586728837148337,0.009190520629807894,0.008564948851573056,0.08377498453370849,0.7576515704894065,0.00105161686092367,0.015553881942867283,0.036777537244249814,0.13629379876097308,0.06714482109892718,48,0.8296178343949044,AAVE
3,1061,1506,1/04/2022,2.8388312912346843,6.846803423744474,61.9,26.366856299360208,21.804747675962815,0.0026781427275799604,0.006459248512966405,0.019922938422408804,0.11626124271769214,0.713203185487357,0.006518432679075831,0.01417106307428269,0.027246793313084994,0.15534936251812256,0.06446307114269552,57,0.8746465598491989,AAVE
4,403,444,1/05/2022,2.203473945409429,3.3942133726528865,19.9,8.659612513784257,9.031193693693693,0.005481278471167772,0.00844331684739526,0.0017429070012951768,0.01899612629737011,0.7748255011768519,0.005263157894736842,0.02109751377422826,0.04518130005893228,0.13313263350630083,0.06290726010221798,31,0.8337468982630273,AAVE
5,578,695,1/06/2022,2.4048442906574397,4.755598076018866,30.5,18.34393632784414,12.682733812949639,0.004167841058331764,0.00824193774006748,0.0073717295642514976,0.06226351659401538,0.7660990631954862,0.006399146780429276,0.01870897710373893,0.03718157874835391,0.13316850704889963,0.06502230432354661,42,0.8252595155709342,AAVE
6,772,912,1/07/2022,2.3626943005181347,6.535391586223834,42.3,38.953105709871764,17.90328947368421,0.003064454345678508,0.008476513082002382,0.007233988258993891,0.0751559237814168,0.7704053170206215,0.0020330942565087253,0.013680835010217687,0.03331079191736153,0.1418539700559399,0.06783965520541563,45,0.8393782383419689,AAVE
7,1235,1516,1/08/2021,2.455060728744939,8.793058255058973,75.1,59.71311041601799,30.589874670184695,0.0019895143668921637,0.00712565498789213,0.016739014657239766,0.1155681808920372,0.7497186997445043,0.0026447605690242434,0.010707376366892875,0.026374835644399883,0.1670460202123629,0.06965115052821494,73,0.8696356275303644,AAVE
8,1196,1453,1/09/2021,2.4297658862876252,8.796304869624203,66.3,67.57391015276038,27.286579490708878,0.002033276892290833,0.007360924577091305,0.02066625000827154,0.12758095633118008,0.7595531754553889,0.003353481824956529,0.011091131359336644,0.026715238141180084,0.15771867311377102,0.07104538967724171,70,0.8511705685618729,AAVE
9,853,1056,1/10/2021,2.4759671746776086,7.469402164414213,51.2,45.19291979945532,20.67878787878788,0.002906064759011291,0.008766903948842853,0.015580392533695005,0.11186018801622774,0.7363801365932049,0.002369106846718787,0.013455957805497422,0.0315029142255197,0.14866069905865667,0.06418624139813299,47,0.861664712778429,AAVE
10,920,1012,1/11/2021,2.2,7.092671201039257,46.2,50.285407646972715,21.0,0.0023939064200217317,0.007717814146941491,0.005770415728787607,0.06443644731304374,0.7809600017185111,0.0013565732138452683,0.012330642943178462,0.030592958022476132,0.12668888432315686,0.07141817628825915,82,0.782608695652174,AAVE
11,712,797,1/12/2021,2.2387640449438204,6.231065282941691,37.6,37.280319502684286,16.794981179422834,0.003148753931003973,0.008763804898652097,0.009538959769596837,0.08141917534375769,0.7812444408060979,0.0022313881939279192,0.014016208357791611,0.03478130758647055,0.12997712342975232,0.06963686620313154,57,0.7963483146067416,AAVE
12,528,620,10/01/2022,2.3484848484848486,5.657169350690204,30.5,28.371542863306615,12.987096774193548,0.0044563279857398035,0.01073466669960199,0.006522380781274062,0.06602413038503063,0.7430645161290331,0.00356102298478472,0.01794284950996819,0.03968597303022001,0.1516269548433475,0.07055529472773484,36,0.8465909090909091,AAVE
13,567,652,10/02/2022,2.2998236331569664,5.385005681326737,31.7,26.025841858515246,13.78366564417178,0.00406329263808653,0.00951414431329816,0.007593715980803337,0.07574094641631308,0.7603645225638898,0.0023194168323392977,0.016847881416528324,0.038502361490519436,0.14283576491837846,0.06342724340844044,34,0.855379188712522,AAVE
14,617,644,10/03/2022,2.087520259319287,3.8878920243303625,27.3,14.111067366511374,13.077717391304347,0.0033888315898040425,0.006311513026510293,0.010279874996244527,0.09192461068582161,0.8197889741908125,0.0067226890756302525,0.013964073078100903,0.03778974378815563,0.09297901320052852,0.06135701327400915,72,0.7082658022690438,AAVE
15,592,657,10/04/2022,2.2195945945945947,4.32077825263741,30.9,10.514011814927946,13.92146118721461,0.0037556592125120064,0.007310961510384876,0.006500961188461188,0.06460575868933147,0.8113965281976798,0.0033238366571699905,0.017163051905610998,0.03737617689949707,0.10662652768269656,0.05979998560257804,50,0.7652027027027027,AAVE
16,694,844,10/05/2022,2.4322766570605188,4.766755516818206,35.1,14.332945731193337,14.430924170616114,0.00350977872591701,0.006878435089203731,0.025554077004690527,0.1415326523728657,0.7607779194088179,0.01620013224597752,0.0188615440789202,0.032965591741642285,0.14703225882129328,0.06338265944528756,43,0.8645533141210374,AAVE
